DonorID,DonorStatus,Recurring Status,Name,Total Contributions ($),Total Contributions (Freq),DonorType,First Gift Date,Last Gift Date,Recency (Days),Recurring Status Freq,Gift Officer,,,,,,,,,,,,,,,,,,,,,
D-00142,Lapsed,Not Recurrent,Steven Campbell,$150.00,1,Individual,6/8/2022,6/8/2022,1302,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00143,Lapsed,Not Recurrent,Ronald Rodriguez,$150.00,2,Individual,7/2/2022,9/15/2022,1203,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00144,Active,Not Recurrent,Helen Garcia,$550.00,2,Individual,3/19/2022,12/1/2025,30,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00145,Lapsed,Not Recurrent,Matthew Anderson,$400.00,2,Individual,8/9/2023,8/18/2023,866,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00146,Active,Not Recurrent,John Nelson,$25.00,1,Individual,6/4/2025,6/4/2025,210,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00147,Active,Active,Samantha Hernandez,$180.00,11,Individual,2/1/2023,11/1/2025,60,Quarterly,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00148,Active,Not Recurrent,Sandra Wright,$200.00,2,Individual,7/30/2024,5/6/2025,239,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00149,Lapsed,Not Recurrent,Edward Allen,$25.00,1,Individual,11/21/2022,11/21/2022,1136,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00150,Active,Not Recurrent,Deborah Scott,$75.00,1,Individual,6/7/2025,6/7/2025,207,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00151,Active,Not Recurrent,Charles Ramirez,$25.00,1,Individual,12/31/2024,12/31/2024,365,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00152,Lapsed,Not Recurrent,Donald Harris,$350.00,2,Individual,6/25/2022,8/10/2022,1239,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00153,Active,Not Recurrent,Andrew Walker,$150.00,1,Individual,7/14/2025,7/14/2025,170,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00154,Active,Not Recurrent,Karen Scott,$75.00,1,Individual,8/4/2025,8/4/2025,149,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00155,Active,Active,Samantha Robinson,$60.00,6,Individual,8/9/2024,11/9/2025,52,Quarterly,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00156,Active,Not Recurrent,Donna Ramirez,$650.00,4,Individual,1/28/2022,12/8/2025,23,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00157,Active,Not Recurrent,Helen Wright,$50.00,1,Individual,12/13/2025,12/13/2025,18,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00158,Lapsed,Not Recurrent,Deborah Taylor,$300.00,2,Individual,5/15/2023,11/24/2023,768,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00159,Active,Active,Kevin Rodriguez,$260.00,13,Individual,10/18/2022,10/18/2025,74,Quarterly,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00160,Lapsed,Not Recurrent,David Rivera,$300.00,2,Individual,2/15/2023,11/21/2023,771,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00161,Lapsed,Not Recurrent,Anna Walker,$50.00,1,Individual,11/21/2023,11/21/2023,771,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00162,Active,Active,Jessica White,"$2,500.00",22,Individual,12/7/2023,12/7/2025,24,Monthly,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00163,Lapsed,Not Recurrent,Eric Moore,$25.00,1,Individual,6/11/2022,6/11/2022,1299,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00164,Active,Not Recurrent,The Alden Foundation,$600.00,2,Organization,10/2/2023,3/15/2025,291,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00165,Active,Not Recurrent,Melissa Flores,"$1,200.00",3,Individual,4/3/2022,10/18/2025,74,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00166,Lapsed,Not Recurrent,Christopher Johnson,$50.00,1,Individual,3/23/2023,3/23/2023,1014,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00167,Active,Active,Stephanie Torres,$480.00,24,Individual,1/17/2024,12/17/2025,14,Monthly,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00168,Lapsing,Not Recurrent,Ronald Lee,$250.00,2,Individual,6/10/2023,6/13/2024,566,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00169,Lapsing,Not Recurrent,Jessica Taylor,$25.00,1,Individual,12/15/2024,12/15/2024,381,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00170,Active,Active,Elizabeth Lewis,"$1,875.00",22,Individual,12/28/2023,12/28/2025,3,Monthly,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00171,Lapsing,Not Recurrent,Donna Martin,"$12,500.00",2,Individual,12/19/2022,6/17/2024,562,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00172,Active,Active,Donald Young,$45.00,3,Individual,6/2/2025,12/2/2025,29,Quarterly,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00173,Active,Active,Harborview Financial Group,"$1,000.00",10,Organization,8/5/2023,11/5/2025,56,Quarterly,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00174,Active,Not Recurrent,Eric Thompson,$75.00,1,Individual,2/24/2025,2/24/2025,310,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00175,Active,Not Recurrent,Linda Davis,$650.00,2,Individual,12/18/2022,5/4/2025,241,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00176,Active,Active,Andrew Garcia,$200.00,4,Individual,3/6/2025,12/6/2025,25,Quarterly,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00177,Lapsing,Not Recurrent,Cascade Health Partners,$50.00,1,Organization,12/5/2024,12/5/2024,391,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00178,Never Gave,Not Recurrent,Pamela Taylor,$0.00,0,Individual,1/0/1900,1/0/1900,46022,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00179,Active,Not Recurrent,Joshua Walker,$150.00,1,Individual,3/21/2025,3/21/2025,285,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00180,Lapsing,Not Recurrent,Kathleen Wilson,$250.00,1,Individual,12/7/2024,12/7/2024,389,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00181,Lapsed,Not Recurrent,Brenda Miller,$25.00,1,Individual,8/16/2022,8/16/2022,1233,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00182,Lapsed,Not Recurrent,Stephanie Flores,$150.00,1,Individual,5/4/2023,5/4/2023,972,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00183,Active,Not Recurrent,Angela Robinson,$450.00,1,Individual,4/22/2024,11/2/2025,59,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00184,Active,Not Recurrent,Justin Thompson,$250.00,1,Individual,11/20/2025,11/20/2025,41,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00185,Active,Active,Cedar Ridge Corporation,$600.00,30,Organization,7/10/2023,12/10/2025,21,Monthly,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00186,Active,Not Recurrent,Stephen Jackson,$150.00,1,Individual,4/6/2025,4/6/2025,269,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00187,Lapsing,Not Recurrent,The Alden Foundation,$350.00,2,Organization,3/18/2023,5/30/2024,580,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00188,Lapsing,Not Recurrent,Whitfield Family Foundation,$75.00,1,Organization,11/24/2024,11/24/2024,402,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00189,Active,Not Recurrent,Kenneth Hernandez,$425.00,3,Individual,5/26/2022,3/30/2025,276,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00190,Active,Canceled,Joshua Walker,"$1,435.00",39,Individual,1/1/2022,5/1/2025,244,Monthly,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00191,Active,Not Recurrent,Justin Torres,$250.00,1,Individual,8/30/2025,8/30/2025,123,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00192,Active,Active,John Torres,$315.00,8,Individual,12/12/2023,12/12/2025,19,Quarterly,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00193,Lapsing,Not Recurrent,Brandon Walker,$200.00,1,Individual,3/22/2024,3/22/2024,649,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00194,Active,Not Recurrent,Daniel Robinson,"$32,500.00",4,Individual,9/20/2022,8/30/2025,123,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00195,Active,Not Recurrent,Joshua Anderson,$200.00,2,Individual,7/26/2022,7/16/2025,168,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00196,Active,Not Recurrent,Emily Jackson,$75.00,1,Individual,3/11/2025,3/11/2025,295,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00197,Never Gave,Not Recurrent,William Thompson,$0.00,0,Individual,1/0/1900,1/0/1900,46022,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00198,Lapsed,Not Recurrent,Sarah Miller,$25.00,1,Individual,12/23/2022,12/23/2022,1104,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00199,Lapsing,Not Recurrent,Richard Clark,$650.00,2,Individual,5/27/2022,10/17/2024,440,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00200,Lapsed,Not Recurrent,Jacob Walker,$300.00,2,Individual,4/8/2023,11/13/2023,779,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00201,Lapsed,Not Recurrent,Fairview Family Fund,$100.00,1,Organization,10/19/2022,10/19/2022,1169,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00202,Active,Not Recurrent,Donna Williams,$550.00,2,Individual,10/4/2022,7/3/2025,181,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00203,Active,Active,Sarah Allen,"$1,680.00",44,Individual,1/1/2022,12/1/2025,30,Monthly,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00204,Never Gave,Not Recurrent,Mary Mitchell,$0.00,0,Individual,1/0/1900,1/0/1900,46022,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00205,Lapsing,Not Recurrent,Barbara Sanchez,$75.00,1,Individual,10/18/2024,10/18/2024,439,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00206,Active,Failed,Paul Perez,$105.00,6,Individual,6/4/2025,12/4/2025,27,Monthly,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00207,Lapsing,Not Recurrent,Cedar Ridge Corporation,$150.00,1,Organization,6/23/2024,6/23/2024,556,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00208,Active,Active,Sarah Walker,"$3,400.00",33,Individual,3/11/2023,12/11/2025,20,Monthly,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00209,Active,Active,Margaret Carter,$200.00,3,Individual,9/6/2025,12/6/2025,25,Monthly,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00210,Active,Not Recurrent,Fairview Family Fund,$425.00,3,Organization,9/18/2022,8/3/2025,150,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00211,Active,Not Recurrent,Joseph Baker,$225.00,2,Individual,10/21/2024,3/1/2025,305,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00212,Active,Active,Ryan Torres,$645.00,42,Individual,6/16/2022,12/16/2025,15,Monthly,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00213,Active,Not Recurrent,Jennifer Ramirez,$75.00,1,Individual,5/19/2025,5/19/2025,226,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00214,Lapsing,Canceled,Sarah Roberts,$665.00,17,Individual,4/16/2023,10/16/2024,441,Monthly,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00215,Never Gave,Not Recurrent,Anna Rodriguez,$0.00,0,Individual,1/0/1900,1/0/1900,46022,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00216,Lapsed,Not Recurrent,Joshua Robinson,$50.00,1,Individual,5/9/2023,5/9/2023,967,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00217,Lapsed,Canceled,Joseph Williams,$375.00,14,Individual,1/1/2022,3/1/2023,1036,Monthly,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00218,Lapsed,Not Recurrent,Michael Thomas,$100.00,1,Individual,8/12/2023,8/12/2023,872,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00219,Active,Not Recurrent,Sandra Campbell,"$5,000.00",1,Individual,4/1/2025,4/1/2025,274,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00220,Active,Not Recurrent,Timothy Martin,$200.00,1,Individual,9/5/2025,9/5/2025,117,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00221,Active,Not Recurrent,The Alden Foundation,$525.00,3,Organization,6/15/2022,8/18/2025,135,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00222,Active,Not Recurrent,Jacob Thomas,"$22,500.00",3,Individual,2/26/2022,9/23/2025,99,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00223,Active,Not Recurrent,Sarah Harris,$150.00,2,Individual,3/23/2024,1/11/2025,354,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00224,Active,Not Recurrent,Michael Moore,$600.00,3,Individual,12/19/2022,8/1/2025,152,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00225,Lapsed,Not Recurrent,Kevin Martin,$100.00,1,Individual,10/29/2022,10/29/2022,1159,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00226,Lapsing,Not Recurrent,Anthony Sanchez,$550.00,3,Individual,2/21/2022,9/11/2024,476,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00227,Active,Not Recurrent,Shirley Robinson,$350.00,2,Individual,8/16/2024,2/12/2025,322,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00228,Active,Not Recurrent,Mark Mitchell,$100.00,1,Individual,4/27/2025,4/27/2025,248,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00229,Lapsing,Not Recurrent,Sandra Harris,$75.00,1,Individual,10/6/2024,10/6/2024,451,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00230,Lapsed,Not Recurrent,Gary Robinson,$600.00,1,Individual,11/3/2022,6/10/2023,935,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00231,Lapsed,Not Recurrent,Anna Adams,$100.00,1,Individual,6/16/2022,6/16/2022,1294,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00232,Active,Active,David Rivera,$320.00,16,Individual,9/2/2024,12/2/2025,29,Monthly,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00233,Lapsed,Not Recurrent,Redwood Insurance Group,$200.00,2,Organization,1/3/2022,8/2/2022,1247,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00234,Lapsed,Not Recurrent,Daniel Miller,$200.00,2,Individual,3/22/2023,6/19/2023,926,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00235,Active,Not Recurrent,Ronald Garcia,$50.00,1,Individual,11/28/2025,11/28/2025,33,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00236,Active,Active,William Adams,$385.00,11,Individual,4/3/2023,10/3/2025,89,Quarterly,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00237,Lapsed,Not Recurrent,William Young,$100.00,1,Individual,7/8/2023,7/8/2023,907,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00238,Lapsed,Not Recurrent,Larry Walker,$150.00,1,Individual,4/17/2022,4/17/2022,1354,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00239,Active,Not Recurrent,Robert Wilson,$700.00,3,Individual,7/21/2023,8/12/2025,141,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00240,Active,Not Recurrent,Anna Perez,$250.00,1,Individual,2/16/2025,2/16/2025,318,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00241,Never Gave,Not Recurrent,Elizabeth Perez,$0.00,0,Individual,1/0/1900,1/0/1900,46022,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00242,Active,Not Recurrent,Sandra Thompson,$250.00,1,Individual,2/23/2025,2/23/2025,311,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00243,Active,Active,Ashley Rivera,"$3,600.00",45,Individual,1/1/2022,12/1/2025,30,Monthly,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00244,Lapsing,Not Recurrent,Susan Garcia,$250.00,1,Individual,10/24/2024,10/24/2024,433,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00245,Active,Canceled,Cynthia Scott,$800.00,16,Individual,1/1/2022,10/1/2025,91,Quarterly,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00246,Lapsed,Not Recurrent,Stephanie Smith,$100.00,1,Individual,1/17/2022,1/17/2022,1444,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00247,Active,Not Recurrent,Sarah Moore,$850.00,3,Individual,10/7/2022,5/18/2025,227,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00248,Active,Not Recurrent,Elizabeth White,$250.00,1,Individual,5/26/2025,5/26/2025,219,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00249,Active,Not Recurrent,Ronald Perez,$550.00,3,Individual,3/14/2023,5/6/2025,239,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00250,Active,Not Recurrent,Betty Walker,"$22,500.00",3,Individual,2/21/2023,7/18/2025,166,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00251,Active,Active,Carol Harris,"$1,120.00",30,Individual,5/28/2023,12/28/2025,3,Monthly,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00252,Lapsed,Not Recurrent,Stephen Johnson,$150.00,1,Individual,11/3/2022,11/3/2022,1154,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00253,Active,Active,Timothy Baker,$440.00,42,Individual,5/25/2022,12/25/2025,6,Monthly,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00254,Active,Not Recurrent,Elizabeth Lewis,$450.00,2,Individual,6/10/2024,6/30/2025,184,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00255,Active,Not Recurrent,George Hall,$50.00,1,Individual,2/13/2025,2/13/2025,321,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00256,Lapsing,Not Recurrent,Larry Adams,$25.00,1,Individual,11/3/2024,11/3/2024,423,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00257,Lapsed,Not Recurrent,Eric Scott,$100.00,1,Individual,10/20/2022,10/20/2022,1168,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00258,Active,Not Recurrent,Nicholas Martinez,$75.00,1,Individual,12/15/2025,12/15/2025,16,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00259,Active,Not Recurrent,Charles Thompson,$75.00,1,Individual,5/12/2025,5/12/2025,233,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00260,Lapsing,Canceled,Cynthia Lee,"$2,325.00",29,Individual,1/1/2022,7/1/2024,548,Monthly,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00261,Lapsed,Not Recurrent,Ashley King,$250.00,1,Individual,11/7/2023,11/7/2023,785,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00262,Lapsed,Not Recurrent,Lisa Green,$250.00,1,Individual,8/23/2023,8/23/2023,861,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00263,Active,Not Recurrent,Emily Carter,$75.00,1,Individual,3/5/2025,3/5/2025,301,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00264,Lapsed,Not Recurrent,Gary King,$150.00,1,Individual,7/7/2023,7/7/2023,908,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00265,Lapsed,Not Recurrent,Joshua Flores,$25.00,1,Individual,3/7/2023,3/7/2023,1030,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00266,Active,Not Recurrent,Charles Allen,$200.00,2,Individual,5/5/2024,5/13/2025,232,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00267,Lapsed,Not Recurrent,Daniel Scott,$150.00,1,Individual,4/24/2022,4/24/2022,1347,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00268,Active,Active,Gary Rodriguez,$315.00,8,Individual,4/19/2025,12/19/2025,12,Monthly,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00269,Lapsing,Not Recurrent,Jeffrey Young,$150.00,1,Individual,10/23/2024,10/23/2024,434,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00270,Lapsed,Not Recurrent,Ryan Torres,$100.00,1,Individual,9/26/2022,9/26/2022,1192,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00271,Active,Not Recurrent,Jennifer Carter,$75.00,1,Individual,8/22/2025,8/22/2025,131,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00272,Lapsed,Not Recurrent,Cynthia Taylor,$75.00,1,Individual,4/5/2023,4/5/2023,1001,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00273,Lapsed,Not Recurrent,Brian Rivera,$250.00,1,Individual,7/2/2023,7/2/2023,913,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00274,Active,Not Recurrent,Jonathan Moore,"$36,000.00",4,Individual,9/26/2022,5/6/2025,239,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00275,Active,Not Recurrent,Richard Rodriguez,$50.00,1,Individual,10/3/2025,10/3/2025,89,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00276,Active,Not Recurrent,Ashley Carter,$300.00,1,Individual,2/16/2025,2/16/2025,318,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00277,Lapsed,Not Recurrent,Barbara Sanchez,$350.00,2,Individual,2/1/2023,10/25/2023,798,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00278,Active,Not Recurrent,Barbara Campbell,"$22,500.00",3,Individual,6/13/2023,10/19/2025,73,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00279,Lapsed,Not Recurrent,Shirley Moore,$500.00,2,Individual,7/28/2023,11/26/2023,766,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00280,Active,Not Recurrent,Michael Williams,$250.00,1,Individual,9/29/2024,2/27/2025,307,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00281,Lapsed,Not Recurrent,Jason Gonzalez,$25.00,1,Individual,4/20/2023,4/20/2023,986,Not Recurrent,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00282,Lapsed,Not Recurrent,Nancy Brown,$75.00,1,Individual,7/13/2022,7/13/2022,1267,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00283,Never Gave,Not Recurrent,Thomas Nguyen,$0.00,0,Individual,1/0/1900,1/0/1900,46022,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00284,Lapsed,Not Recurrent,Jason Hall,$75.00,1,Individual,4/20/2023,4/20/2023,986,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00285,Active,Canceled,Joshua Rodriguez,$240.00,16,Individual,1/1/2022,10/1/2025,91,Quarterly,James Whitfield,,,,,,,,,,,,,,,,,,,,,
D-00286,Lapsed,Not Recurrent,Brian Campbell,$150.00,1,Individual,4/17/2022,4/17/2022,1354,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00287,Lapsing,Not Recurrent,Cedar Ridge Corporation,$75.00,1,Organization,7/2/2024,7/2/2024,547,Not Recurrent,Aisha Bello,,,,,,,,,,,,,,,,,,,,,
D-00288,Lapsed,Not Recurrent,Ashley Scott,$50.00,1,Individual,5/21/2023,5/21/2023,955,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00289,Active,Not Recurrent,Ronald Jackson,$200.00,1,Individual,5/8/2025,5/8/2025,237,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00290,Active,Not Recurrent,Helen Smith,$500.00,3,Individual,3/10/2023,12/5/2025,26,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00291,Lapsed,Not Recurrent,Jacob Roberts,$150.00,1,Individual,12/25/2022,12/25/2022,1102,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00292,Lapsing,Not Recurrent,Ronald Allen,$100.00,1,Individual,11/16/2024,11/16/2024,410,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00293,Active,Not Recurrent,Brandon Martinez,$600.00,3,Individual,1/12/2023,1/17/2025,348,Not Recurrent,Priya Nair,,,,,,,,,,,,,,,,,,,,,
D-00294,Active,Not Recurrent,David Martin,$250.00,1,Individual,3/23/2025,3/23/2025,283,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00295,Active,Not Recurrent,Linda Martin,$675.00,4,Individual,8/28/2022,1/10/2025,355,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00296,Lapsed,Not Recurrent,Kimberly Hernandez,$200.00,2,Individual,4/7/2022,9/30/2022,1188,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
D-00297,Active,Not Recurrent,David Taylor,$600.00,2,Individual,2/5/2024,3/25/2025,281,Not Recurrent,Tom Russo,,,,,,,,,,,,,,,,,,,,,
D-00298,Active,Not Recurrent,Deborah Hernandez,$25.00,1,Individual,7/13/2025,7/13/2025,171,Not Recurrent,Maria Chen,,,,,,,,,,,,,,,,,,,,,
